wordText,lyricsRank,newYorkTimesRank,rank,googleBooksRank,happs,stdDev,twitterRank
arsenal,-1,-1,9005,-1,4.18,1.8371,4489
boss,1582,4172,9006,-1,4.18,1.5868,1475
capture,4873,4826,9007,3849,4.18,1.6986,-1
chemical,4584,1997,9008,1553,4.18,1.3952,-1
dis,1652,-1,9009,-1,4.18,1.3506,1019
ex,4784,-1,9010,2663,4.18,1.3045,2016
exam,-1,-1,9011,-1,4.18,1.5609,2182
explode,2618,-1,9012,-1,4.18,1.9763,-1
forces,3701,1058,9013,735,4.18,1.5868,4712
grr,-1,-1,9014,-1,4.18,1.6374,4488
porn,-1,-1,9015,-1,4.18,2.4302,1801
prey,3485,-1,9016,-1,4.18,1.9968,-1
reduce,-1,1506,9017,1873,4.18,1.2567,4588
smells,4163,-1,9018,-1,4.18,1.5868,1931
unpublished,-1,-1,9019,-1,4.18,1.3045,-1
warcraft,-1,-1,9020,-1,4.18,1.7106,3595
implications,-1,-1,9021,2806,4.17,1.2392,-1
uptight,4706,-1,9022,-1,4.17,1.9278,-1
acute,-1,-1,9023,2147,4.16,1.7719,-1
blades,4980,-1,9024,-1,4.16,1.6751,-1
astray,3226,-1,9025,-1,4.16,1.4337,-1
bash,-1,-1,9026,-1,4.16,1.9416,4595
chop,2498,-1,9027,-1,4.16,1.4479,-1
clinic,-1,2150,9028,-1,4.16,1.6458,-1
froze,4750,-1,9029,-1,4.16,1.4194,-1
gambling,-1,4817,9030,-1,4.16,1.9935,-1
heat,727,2186,9031,998,4.16,1.8223,1762
nowhere,726,-1,9032,-1,4.16,1.2675,3675
palin,-1,-1,9033,-1,4.16,2.151,1866
sigh,2202,-1,9034,-1,4.16,1.8223,1253
stranger,1175,-1,9035,4422,4.16,0.9553,4728
strangers,2012,-1,9036,-1,4.16,1.7538,-1
sucking,4017,-1,9037,-1,4.16,1.7304,-1
sweat,1106,-1,9038,-1,4.16,1.3903,4138
vice,-1,322,9039,2445,4.16,1.6946,-1
crowd,864,2138,9040,2932,4.14,1.5388,2498
demand,3593,1546,9041,994,4.14,1.4144,3142
drag,1484,-1,9042,-1,4.14,1.4287,3529
fuck,185,-1,9043,-1,4.14,2.5794,322
havent,-1,-1,9044,-1,4.14,1.3554,1925
minimum,-1,2015,9045,1969,4.14,1.2779,-1
pee,-1,-1,9046,-1,4.14,1.5254,3569
pirates,-1,-1,9047,-1,4.14,2.119,4443
pushing,2047,4016,9048,-1,4.14,1.325,4045
shark,-1,-1,9049,-1,4.14,1.9167,3835
ripped,2959,-1,9050,-1,4.13,1.805,-1
strict,-1,-1,9051,3906,4.13,1.7646,-1
decrease,-1,-1,9052,2840,4.12,1.5523,-1
drain,3186,-1,9053,-1,4.12,1.282,-1
messing,4296,-1,9054,-1,4.12,1.6283,-1
renal,-1,-1,9055,3691,4.12,1.3171,-1
5am,-1,-1,9056,-1,4.12,1.9021,-1
aren't,-1,-1,9057,-1,4.12,1.2879,-1
attorney,-1,901,9058,3901,4.12,1.3037,-1
bother,1795,-1,9059,-1,4.12,1.6243,3404
fuss,3479,-1,9060,-1,4.12,1.7802,-1
hittin,3163,-1,9061,-1,4.12,1.686,-1
negro,-1,-1,9062,2743,4.12,1.6616,-1
nonsense,-1,-1,9063,-1,4.12,1.599,3862
nope,-1,-1,9064,-1,4.12,1.3797,1886
political,-1,258,9065,219,4.12,1.5205,2407
reductions,-1,-1,9066,-1,4.12,1.698,-1
rush,1310,3636,9067,-1,4.12,1.3649,2161
shallow,3438,-1,9068,-1,4.12,1.5732,-1
taxpayers,-1,4408,9069,-1,4.12,1.5205,-1
twisted,1594,-1,9070,-1,4.12,1.6738,-1
blunts,3905,-1,9071,-1,4.11,1.2551,-1
abyss,4995,-1,9072,-1,4.1,1.7108,-1
lesser,-1,-1,9073,4506,4.1,1.2949,-1
liability,-1,-1,9074,4101,4.1,1.6863,-1
murda,3869,-1,9075,-1,4.1,1.6863,-1
conviction,-1,3577,9076,3469,4.1,1.9404,-1
cost,1729,632,9077,573,4.1,1.4033,1636
demanded,-1,4974,9078,3044,4.1,1.5682,-1
enforcement,-1,2357,9079,-1,4.1,1.4178,-1
erase,2281,-1,9080,-1,4.1,1.4743,-1
freaking,-1,-1,9081,-1,4.1,1.8434,1567
hard,181,622,9082,629,4.1,1.3887,169
heavy,1038,1970,9083,1138,4.1,1.4178,1513
hunting,4562,-1,9084,3890,4.1,2.0127,3490
laundry,-1,-1,9085,-1,4.1,1.6568,1923
less,892,366,9086,180,4.1,1.2495,587
numb,2206,-1,9087,-1,4.1,1.632,-1
pills,2598,-1,9088,-1,4.1,1.6067,4401
pushed,2337,3597,9089,3606,4.1,1.4743,-1
rid,2886,-1,9090,-1,4.1,1.4178,2454
sacrifice,1825,-1,9091,2863,4.1,2.1309,-1
takeover,-1,3571,9092,-1,4.1,1.632,-1
wack,2313,-1,9093,-1,4.1,1.1112,3762
ego,3274,-1,9094,4892,4.08,1.5524,-1
rumors,4514,-1,9095,-1,4.08,1.9455,-1
servant,-1,-1,9096,3190,4.08,1.3668,-1
weary,2213,-1,9097,-1,4.08,1.6181,-1
conservatives,-1,4995,9098,-1,4.08,1.9984,-1
crumble,3722,-1,9099,-1,4.08,1.7243,-1
cutting,3473,2811,9100,3053,4.08,1.3974,3137
fallin,3130,-1,9101,-1,4.08,1.6517,-1
freeze,2161,-1,9102,-1,4.08,1.8609,4438
